## Fluke scopemeter waveform capture - generated with ScopeGrab32 v2.1 alpha
## wave downloaded 2005-04-23 23:23:26
## SM model: ScopeMeter model 97   V4.02   92-11-03
## data in decimal notation (use find/replace . to , if necessary)

Channel A

V offset:;0.000000;s offset:;-0.000400;
delta V:;0.002000;delta s:;0.000008
V divs:;255;s divs:;512

V range;min:;-0.256000;max:;0.256000
s range;min:;-0.000400;max:;0.003688

s;V
0.001352;0.000000
0.001360;0.000000
0.001368;0.000000
0.001376;0.000000
0.001384;0.000000
0.001392;0.000000
0.001400;0.000000
0.001408;0.000000
0.001416;0.000000
0.001424;0.000000
0.001432;0.000000
0.001440;0.000000
0.001448;0.000000
0.001456;0.000000
0.001464;0.000000
0.001472;0.000000
0.001480;0.000000
0.001488;0.000000
0.001496;0.000000
0.001504;0.000000
0.001512;0.000000
0.001520;0.002000
0.001528;0.000000
0.001536;0.002000
0.001544;0.004000
0.001552;0.004000
0.001560;0.004000
0.001568;0.004000
0.001576;0.014000
0.001584;0.006000
0.001592;0.008000
0.001600;0.010000
0.001608;0.006000
0.001616;0.006000
0.001624;0.006000
0.001632;0.006000
0.001640;-0.004000
0.001648;-0.004000
0.001656;0.002000
0.001664;0.002000
0.001672;0.002000
0.001680;0.002000
0.001688;0.002000
0.001696;0.002000
0.001704;0.002000
0.001712;0.014000
0.001720;0.006000
0.001728;0.002000
0.001736;0.004000
0.001744;0.004000
0.001752;0.004000
0.001760;0.004000
0.001768;0.004000
0.001776;0.004000
0.001784;0.002000
0.001792;0.004000
0.001800;0.016000
0.001808;0.002000
0.001816;0.002000
0.001824;0.002000
0.001832;0.002000
0.001840;0.002000
0.001848;0.000000
0.001856;0.000000
0.001864;0.000000
0.001872;0.000000
0.001880;0.000000
0.001888;0.000000
0.001896;0.000000
0.001904;0.000000
0.001912;0.000000
0.001920;0.000000
0.001928;0.000000
0.001936;0.000000
0.001944;0.000000
0.001952;0.000000
0.001960;0.000000
0.001968;0.000000
0.001976;0.000000
0.001984;0.000000
0.001992;0.000000
0.002000;0.000000
0.002008;0.000000
0.002016;0.000000
0.002024;0.000000
0.002032;0.000000
0.002040;0.000000
0.002048;0.000000
0.002056;0.000000
0.002064;0.000000
0.002072;0.000000
0.002080;0.000000
0.002088;0.000000
0.002096;0.000000
0.002104;0.000000
0.002112;0.000000
0.002120;0.000000
0.002128;0.000000
0.002136;0.000000
0.002144;0.000000
0.002152;0.000000
0.002160;0.002000
0.002168;0.000000
0.002176;0.002000
0.002184;0.004000
0.002192;0.004000
0.002200;0.004000
0.002208;0.004000
0.002216;0.014000
0.002224;0.006000
0.002232;0.008000
0.002240;0.010000
0.002248;0.006000
0.002256;0.006000
0.002264;0.006000
0.002272;0.006000
0.002280;-0.004000
0.002288;-0.004000
0.002296;0.002000
0.002304;0.002000
0.002312;0.002000
0.002320;0.002000
0.002328;0.002000
0.002336;0.002000
0.002344;0.002000
0.002352;0.014000
0.002360;0.006000
0.002368;0.002000
0.002376;0.004000
0.002384;0.004000
0.002392;0.004000
0.002400;0.004000
0.002408;0.004000
0.002416;0.004000
0.002424;0.002000
0.002432;0.004000
0.002440;0.016000
0.002448;0.002000
0.002456;0.002000
0.002464;0.002000
0.002472;0.002000
0.002480;0.002000
0.002488;0.000000
0.002496;0.000000
0.002504;0.000000
0.002512;0.000000
0.002520;0.000000
0.002528;0.000000
0.002536;0.000000
0.002544;0.000000
0.002552;0.000000
0.002560;0.000000
0.002568;0.000000
0.002576;0.000000
0.002584;0.000000
0.002592;0.000000
0.002600;0.000000
0.002608;0.000000
0.002616;0.000000
0.002624;0.000000
0.002632;0.000000
0.002640;0.000000
0.002648;0.000000
0.002656;0.000000
0.002664;0.000000
0.002672;0.000000
0.002680;0.000000
0.002688;0.000000
0.002696;0.000000
0.002704;0.000000
0.002712;0.000000
0.002720;0.000000
0.002728;0.000000
0.002736;0.000000
0.002744;0.000000
0.002752;0.000000
0.002760;0.000000
0.002768;0.000000
0.002776;0.000000
0.002784;0.000000
0.002792;0.000000
0.002800;0.002000
0.002808;0.000000
0.002816;0.002000
0.002824;0.004000
0.002832;0.004000
0.002840;0.004000
0.002848;0.004000
0.002856;0.014000
0.002864;0.006000
0.002872;0.008000
0.002880;0.010000
0.002888;0.006000
0.002896;0.006000
0.002904;0.006000
0.002912;0.006000
0.002920;-0.004000
0.002928;-0.004000
0.002936;0.002000
0.002944;0.002000
0.002952;0.002000
0.002960;0.002000
0.002968;0.002000
0.002976;0.002000
0.002984;0.002000
0.002992;0.014000
0.003000;0.006000
0.003008;0.002000
0.003016;0.004000
0.003024;0.004000
0.003032;0.004000
0.003040;0.004000
0.003048;0.004000
0.003056;0.004000
0.003064;0.002000
0.003072;0.004000
0.003080;0.016000
0.003088;0.002000
0.003096;0.002000
0.003104;0.002000
0.003112;0.002000
0.003120;0.002000
0.003128;0.000000
0.003136;0.000000
0.003144;0.000000
0.003152;0.000000
0.003160;0.000000
0.003168;0.000000
0.003176;0.000000
0.003184;0.000000
0.003192;0.000000
0.003200;0.000000
0.003208;0.000000
0.003216;0.000000
0.003224;0.000000
0.003232;0.000000
0.003240;0.000000
0.003248;0.000000
0.003256;0.000000
0.003264;0.000000
0.003272;0.000000
0.003280;0.000000
0.003288;0.000000
0.003296;0.000000
0.003304;0.000000
0.003312;0.000000
0.003320;0.000000
0.003328;0.000000
0.003336;0.000000
0.003344;0.000000
0.003352;0.000000
0.003360;0.000000
0.003368;0.000000
0.003376;0.000000
0.003384;0.000000
0.003392;0.000000
0.003400;0.000000
0.003408;0.000000
0.003416;0.000000
0.003424;0.000000
0.003432;0.000000
0.003440;0.000000
0.003448;0.000000
0.003456;0.000000
0.003464;0.000000
0.003472;0.000000
0.003480;0.000000
0.003488;0.000000
0.003496;0.000000
0.003504;0.000000
0.003512;0.000000
0.003520;0.000000
0.003528;0.000000
0.003536;0.000000
0.003544;0.000000
0.003552;0.000000
0.003560;0.000000
0.003568;0.000000
0.003576;0.000000
0.003584;0.000000
0.003592;0.000000
0.003600;0.000000
0.003608;0.000000
0.003616;0.000000
0.003624;0.000000
0.003632;0.000000
0.003640;0.000000
0.003648;0.000000
0.003656;0.000000
0.003664;0.000000
0.003672;0.000000
0.003680;0.000000
0.003688;0.000000
