1324	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: ,	
1329	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
1339	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
1344	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
1349	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
1354	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
1359	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: E	
1364	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: +	
1369	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
1374	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
1379	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: ,	
1385	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
1390	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
2161	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
2166	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
2171	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
2181	0.00000251	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: E	
2186	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: +	
2191	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
2196	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
2201	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: ,	
2206	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
2211	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
2216	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 2	
2221	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
2227	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
2232	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: E	
3091	0.00000279	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: -	
3096	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
3101	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 3	
3111	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: ,	
3116	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
3121	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
3126	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 2	
3131	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
3136	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
3141	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: E	
3146	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: -	
3151	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 0	
3157	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 7	
3162	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: ,	
3938	0.00000391	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 2	
3945	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 5	
3950	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 5	
3960	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: ,	
3965	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 5	
3970	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 1	
3975	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 2	
3980	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: ,	
21601	0.00000419	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 513: ...............................................................................~....................~..............................................~....................................................................................................~.................................................................................................................................................~......................................................................................................................	
21608	0.00002933	ntvdm.exe	IRP_MJ_WRITE	Serial1	SUCCESS	Length 7: QW 102.	
21619	0.00000391	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 2: 0.	
21626	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: C	
